stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.6356589198112488,0.6352003812789917,0.31291690468788147,2.10252920851417e-07,0.09791721403598785,True,35.0,0.0014653521357104182
mean_ub,1.1624796390533447,1.2045398950576782,0.18420861661434174,0.0017690621316432953,0.03570188209414482,True,55.0,0.22832927107810974
std_ub,0.41446012258529663,0.3247804045677185,0.13554628193378448,0.008042450062930584,0.026415253058075905,True,70.0,0.661616861820221
10q_ub,0.7400000095367432,0.9086999893188477,0.23595361411571503,0.028459686785936356,0.0841338038444519,True,40.0,0.7149710059165955
30q_ub,0.9300000071525574,1.03410005569458,0.20111387968063354,0.010836821980774403,0.05128360539674759,True,40.0,0.5176174640655518
50q_ub,1.059999942779541,1.1230000257492065,0.20173248648643494,0.0039690034464001656,0.044665005058050156,True,45.0,0.3122949004173279
70q_ub,1.274999976158142,1.2463998794555664,0.1955181211233139,0.0008179668802767992,0.0390452966094017,True,65.0,0.14627861976623535
90q_ub,1.6449999809265137,1.5829499959945679,0.2699945569038391,0.0038502030074596405,0.07674724608659744,True,60.0,0.22981946170330048
mean_lb,-1.1734751462936401,-1.1447468996047974,0.11542259901762009,0.0008253139676526189,0.014147691428661346,True,35.29411697387695,0.24889646470546722
std_lb,0.3062678277492523,0.20579995214939117,0.14021973311901093,0.010093793272972107,0.029755370691418648,True,76.47058868408203,0.7165030837059021
10q_lb,0.8700000047683716,0.9524117708206177,0.1366352140903473,0.006791700143367052,0.025460882112383842,True,20.617647171020508,0.6031517386436462
30q_lb,0.9900000095367432,1.0337058305740356,0.12803895771503448,0.0019101996440440416,0.01830417662858963,True,50.02941131591797,0.34134790301322937
50q_lb,1.1299999952316284,1.1200000047683716,0.12360992282629013,9.999990288633853e-05,0.015379412099719048,True,64.70587921142578,0.08089961856603622
70q_lb,1.2599999904632568,1.195647120475769,0.13983601331710815,0.004141293000429869,0.023695409297943115,True,64.70587921142578,0.46020248532295227
90q_lb,1.5099999904632568,1.3545295000076294,0.21981143951416016,0.024171076714992523,0.07248816639184952,True,82.35294342041016,0.7072902917861938
