node,sample,,rt_sampled,response_sampled,index,subj_idx,rt,response
wfpt.0,0,0,-1.053063428656481,0.0,0,0,-1.33,0
wfpt.0,0,1,-0.9359634286562339,0.0,1,0,1.13,1
wfpt.0,0,2,-1.0218634286564152,0.0,2,0,-1.42,0
wfpt.0,0,3,-1.0930634286565655,0.0,3,0,-0.99,0
wfpt.0,0,4,1.0802634286722814,1.0,4,0,-1.3199999999999998,0
wfpt.0,0,5,-1.5940634286576227,0.0,5,0,-1.16,0
wfpt.0,0,6,0.9579634286720233,1.0,6,0,-1.2599999999999998,0
wfpt.0,0,7,-2.627163428659803,0.0,7,0,0.8200000000000001,1
wfpt.0,0,8,-1.124063428656631,0.0,8,0,0.9199999999999999,1
wfpt.0,0,9,-0.9979634286563648,0.0,9,0,-0.9199999999999999,0
wfpt.0,0,10,-1.2943634286569903,0.0,10,0,1.18,1
wfpt.0,0,11,-1.8564634286581765,0.0,11,0,-1.31,0
wfpt.0,0,12,-1.4604634286573408,0.0,12,0,-1.5499999999999998,0
wfpt.0,0,13,-1.5002634286574248,0.0,13,0,0.95,1
wfpt.0,0,14,-1.2135634286568198,0.0,14,0,0.9199999999999999,1
wfpt.0,0,15,1.0632634286722455,1.0,15,0,-0.9299999999999999,0
wfpt.0,0,16,0.982463428672075,1.0,16,0,-0.97,0
wfpt.0,0,17,-1.6937634286578331,0.0,17,0,-1.2599999999999998,0
wfpt.0,0,18,-1.5826634286575987,0.0,18,0,-1.03,0
wfpt.0,0,19,-1.1699634286567278,0.0,19,0,-0.9299999999999999,0
wfpt.0,1,0,-0.9803051535190563,0.0,0,0,-1.33,0
wfpt.0,1,1,-1.4364051535200189,0.0,1,0,1.13,1
wfpt.0,1,2,-0.9923051535190817,0.0,2,0,-1.42,0
wfpt.0,1,3,-1.0212051535191426,0.0,3,0,-0.99,0
wfpt.0,1,4,-0.9556051535190042,0.0,4,0,-1.3199999999999998,0
wfpt.0,1,5,-1.3276051535197892,0.0,5,0,-1.16,0
wfpt.0,1,6,-0.9093051535189065,0.0,6,0,-1.2599999999999998,0
wfpt.0,1,7,-2.1213051535214644,0.0,7,0,0.8200000000000001,1
wfpt.0,1,8,-1.317505153519768,0.0,8,0,0.9199999999999999,1
wfpt.0,1,9,-1.445005153520037,0.0,9,0,-0.9199999999999999,0
wfpt.0,1,10,0.7752051535343665,1.0,10,0,1.18,1
wfpt.0,1,11,-1.8168051535208216,0.0,11,0,-1.31,0
wfpt.0,1,12,-1.06260515351923,0.0,12,0,-1.5499999999999998,0
wfpt.0,1,13,-1.3252051535197842,0.0,13,0,0.95,1
wfpt.0,1,14,-1.17630515351947,0.0,14,0,0.9199999999999999,1
wfpt.0,1,15,-1.1349051535193826,0.0,15,0,-0.9299999999999999,0
wfpt.0,1,16,-1.0010051535191,0.0,16,0,-0.97,0
wfpt.0,1,17,1.9605051535368683,1.0,17,0,-1.2599999999999998,0
wfpt.0,1,18,-1.1358051535193845,0.0,18,0,-1.03,0
wfpt.0,1,19,-1.0066051535191118,0.0,19,0,-0.9299999999999999,0
wfpt.0,2,0,-3.2419088955230793,0.0,0,0,-1.33,0
wfpt.0,2,1,-1.0542088955184628,0.0,1,0,1.13,1
wfpt.0,2,2,-1.1032088955185662,0.0,2,0,-1.42,0
wfpt.0,2,3,-1.3390088955190638,0.0,3,0,-0.99,0
wfpt.0,2,4,-1.9655088955203859,0.0,4,0,-1.3199999999999998,0
wfpt.0,2,5,-1.0431088955184393,0.0,5,0,-1.16,0
wfpt.0,2,6,1.3241088955347753,1.0,6,0,-1.2599999999999998,0
wfpt.0,2,7,0.715508895533491,1.0,7,0,0.8200000000000001,1
wfpt.0,2,8,-1.756108895519944,0.0,8,0,0.9199999999999999,1
wfpt.0,2,9,-0.9487088955182401,0.0,9,0,-0.9199999999999999,0
wfpt.0,2,10,-1.372808895519135,0.0,10,0,1.18,1
wfpt.0,2,11,-2.1631088955208027,0.0,11,0,-1.31,0
wfpt.0,2,12,-2.118708895520709,0.0,12,0,-1.5499999999999998,0
wfpt.0,2,13,-0.84440889551802,0.0,13,0,0.95,1
wfpt.0,2,14,-2.9490088955224616,0.0,14,0,0.9199999999999999,1
wfpt.0,2,15,-1.5489088955195067,0.0,15,0,-0.9299999999999999,0
wfpt.0,2,16,-1.3321088955190492,0.0,16,0,-0.97,0
wfpt.0,2,17,-1.3286088955190418,0.0,17,0,-1.2599999999999998,0
wfpt.0,2,18,-1.167608895518702,0.0,18,0,-1.03,0
wfpt.0,2,19,-0.8519088955180358,0.0,19,0,-0.9299999999999999,0
wfpt.0,3,0,0.8398088552212498,1.0,0,0,-1.33,0
wfpt.0,3,1,-1.1700088552062038,0.0,1,0,1.13,1
wfpt.0,3,2,-0.9297088552056966,0.0,2,0,-1.42,0
wfpt.0,3,3,2.020608855223742,1.0,3,0,-0.99,0
wfpt.0,3,4,-1.0608088552059733,0.0,4,0,-1.3199999999999998,0
wfpt.0,3,5,-1.0414088552059324,0.0,5,0,-1.16,0
wfpt.0,3,6,1.3361088552222977,1.0,6,0,-1.2599999999999998,0
wfpt.0,3,7,0.8890088552213536,1.0,7,0,0.8200000000000001,1
wfpt.0,3,8,-1.2904088552064579,0.0,8,0,0.9199999999999999,1
wfpt.0,3,9,-0.9590088552057584,0.0,9,0,-0.9199999999999999,0
wfpt.0,3,10,-1.905108855207755,0.0,10,0,1.18,1
wfpt.0,3,11,1.60280885522286,1.0,11,0,-1.31,0
wfpt.0,3,12,-0.9987088552058422,0.0,12,0,-1.5499999999999998,0
wfpt.0,3,13,-0.8569088552055429,0.0,13,0,0.95,1
wfpt.0,3,14,-2.3351088552086625,0.0,14,0,0.9199999999999999,1
wfpt.0,3,15,1.008508855221606,1.0,15,0,-0.9299999999999999,0
wfpt.0,3,16,1.0119088552216131,1.0,16,0,-0.97,0
wfpt.0,3,17,1.8391088552233583,1.0,17,0,-1.2599999999999998,0
wfpt.0,3,18,-0.8769088552055851,0.0,18,0,-1.03,0
wfpt.0,3,19,-0.9668088552057749,0.0,19,0,-0.9299999999999999,0
wfpt.0,4,0,-1.2793904684452932,0.0,0,0,-1.33,0
wfpt.0,4,1,0.9318904684603029,1.0,1,0,1.13,1
wfpt.0,4,2,-0.9948904684446929,0.0,2,0,-1.42,0
wfpt.0,4,3,-0.8945904684444812,0.0,3,0,-0.99,0
wfpt.0,4,4,-1.0990904684449128,0.0,4,0,-1.3199999999999998,0
wfpt.0,4,5,1.013890468460476,1.0,5,0,-1.16,0
wfpt.0,4,6,-1.2121904684451514,0.0,6,0,-1.2599999999999998,0
wfpt.0,4,7,-1.0781904684448687,0.0,7,0,0.8200000000000001,1
wfpt.0,4,8,-1.4864904684457303,0.0,8,0,0.9199999999999999,1
wfpt.0,4,9,-0.8339904684443533,0.0,9,0,-0.9199999999999999,0
wfpt.0,4,10,-1.436590468445625,0.0,10,0,1.18,1
wfpt.0,4,11,1.7247904684619757,1.0,11,0,-1.31,0
wfpt.0,4,12,-1.1037904684449227,0.0,12,0,-1.5499999999999998,0
wfpt.0,4,13,-1.6955904684461716,0.0,13,0,0.95,1
wfpt.0,4,14,-0.9270904684445498,0.0,14,0,0.9199999999999999,1
wfpt.0,4,15,-0.9447904684445871,0.0,15,0,-0.9299999999999999,0
wfpt.0,4,16,-0.9320904684445603,0.0,16,0,-0.97,0
wfpt.0,4,17,-1.1132904684449427,0.0,17,0,-1.2599999999999998,0
wfpt.0,4,18,-1.2975904684453317,0.0,18,0,-1.03,0
wfpt.0,4,19,-0.9618904684446232,0.0,19,0,-0.9299999999999999,0
wfpt.0,5,0,-1.336411851357116,0.0,0,0,-1.33,0
wfpt.0,5,1,-1.5599118513575876,0.0,1,0,1.13,1
wfpt.0,5,2,-1.951011851358413,0.0,2,0,-1.42,0
wfpt.0,5,3,-0.9908118513563866,0.0,3,0,-0.99,0
wfpt.0,5,4,-1.3564118513571581,0.0,4,0,-1.3199999999999998,0
wfpt.0,5,5,-1.4727118513574036,0.0,5,0,-1.16,0
wfpt.0,5,6,-1.2584118513569513,0.0,6,0,-1.2599999999999998,0
wfpt.0,5,7,-0.9227118513562429,0.0,7,0,0.8200000000000001,1
wfpt.0,5,8,-1.0556118513565234,0.0,8,0,0.9199999999999999,1
wfpt.0,5,9,-1.3828118513572139,0.0,9,0,-0.9199999999999999,0
wfpt.0,5,10,-1.1613118513567464,0.0,10,0,1.18,1
wfpt.0,5,11,-1.1356118513566922,0.0,11,0,-1.31,0
wfpt.0,5,12,-1.1699118513567646,0.0,12,0,-1.5499999999999998,0
wfpt.0,5,13,-1.4787118513574162,0.0,13,0,0.95,1
wfpt.0,5,14,-1.1215118513566624,0.0,14,0,0.9199999999999999,1
wfpt.0,5,15,-0.9724118513563478,0.0,15,0,-0.9299999999999999,0
wfpt.0,5,16,0.9170118513719738,1.0,16,0,-0.97,0
wfpt.0,5,17,-1.1375118513566962,0.0,17,0,-1.2599999999999998,0
wfpt.0,5,18,-1.4398118513573341,0.0,18,0,-1.03,0
wfpt.0,5,19,-1.4996118513574603,0.0,19,0,-0.9299999999999999,0
wfpt.0,6,0,1.3137952000218664,1.0,0,0,-1.33,0
wfpt.0,6,1,0.7846952000207503,1.0,1,0,1.13,1
wfpt.0,6,2,-1.1140952000057025,0.0,2,0,-1.42,0
wfpt.0,6,3,-0.872195200005192,0.0,3,0,-0.99,0
wfpt.0,6,4,-1.0804952000056316,0.0,4,0,-1.3199999999999998,0
wfpt.0,6,5,-1.0780952000056265,0.0,5,0,-1.16,0
wfpt.0,6,6,-0.9017952000052545,0.0,6,0,-1.2599999999999998,0
wfpt.0,6,7,-1.2392952000059667,0.0,7,0,0.8200000000000001,1
wfpt.0,6,8,0.8713952000209333,1.0,8,0,0.9199999999999999,1
wfpt.0,6,9,-1.0535952000055748,0.0,9,0,-0.9199999999999999,0
wfpt.0,6,10,1.744395200022776,1.0,10,0,1.18,1
wfpt.0,6,11,1.0519952000213149,1.0,11,0,-1.31,0
wfpt.0,6,12,-0.8951952000052406,0.0,12,0,-1.5499999999999998,0
wfpt.0,6,13,-1.0709952000056115,0.0,13,0,0.95,1
wfpt.0,6,14,0.8126952000208094,1.0,14,0,0.9199999999999999,1
wfpt.0,6,15,-0.955095200005367,0.0,15,0,-0.9299999999999999,0
wfpt.0,6,16,0.9229952000210422,1.0,16,0,-0.97,0
wfpt.0,6,17,-0.8382952000051205,0.0,17,0,-1.2599999999999998,0
wfpt.0,6,18,-1.0691952000056077,0.0,18,0,-1.03,0
wfpt.0,6,19,0.8613952000209122,1.0,19,0,-0.9299999999999999,0
wfpt.0,7,0,-0.81976600585756,0.0,0,0,-1.33,0
wfpt.0,7,1,0.8872660058734454,1.0,1,0,1.13,1
wfpt.0,7,2,-0.8321660058575862,0.0,2,0,-1.42,0
wfpt.0,7,3,-0.9232660058577784,0.0,3,0,-0.99,0
wfpt.0,7,4,-0.8984660058577261,0.0,4,0,-1.3199999999999998,0
wfpt.0,7,5,-1.3046660058585833,0.0,5,0,-1.16,0
wfpt.0,7,6,-1.839066005859711,0.0,6,0,-1.2599999999999998,0
wfpt.0,7,7,-1.050066005858046,0.0,7,0,0.8200000000000001,1
wfpt.0,7,8,-0.8725660058576714,0.0,8,0,0.9199999999999999,1
wfpt.0,7,9,0.8480660058733627,1.0,9,0,-0.9199999999999999,0
wfpt.0,7,10,-1.0364660058580173,0.0,10,0,1.18,1
wfpt.0,7,11,1.4316660058745947,1.0,11,0,-1.31,0
wfpt.0,7,12,-0.8593660058576436,0.0,12,0,-1.5499999999999998,0
wfpt.0,7,13,-1.0719660058580922,0.0,13,0,0.95,1
wfpt.0,7,14,-1.2600660058584892,0.0,14,0,0.9199999999999999,1
wfpt.0,7,15,1.1645660058740306,1.0,15,0,-0.9299999999999999,0
wfpt.0,7,16,-1.2743660058585193,0.0,16,0,-0.97,0
wfpt.0,7,17,1.0303660058737474,1.0,17,0,-1.2599999999999998,0
wfpt.0,7,18,-0.8994660058577282,0.0,18,0,-1.03,0
wfpt.0,7,19,-1.3061660058585864,0.0,19,0,-0.9299999999999999,0
wfpt.0,8,0,-1.4566038908128691,0.0,0,0,-1.33,0
wfpt.0,8,1,-1.1398038908122006,0.0,1,0,1.13,1
wfpt.0,8,2,1.0229038908276964,1.0,2,0,-1.42,0
wfpt.0,8,3,1.4591038908286178,1.0,3,0,-0.99,0
wfpt.0,8,4,-1.4256038908128037,0.0,4,0,-1.3199999999999998,0
wfpt.0,8,5,1.032003890827716,1.0,5,0,-1.16,0
wfpt.0,8,6,-2.0656038908141543,0.0,6,0,-1.2599999999999998,0
wfpt.0,8,7,-1.8453038908136894,0.0,7,0,0.8200000000000001,1
wfpt.0,8,8,-1.1224038908121639,0.0,8,0,0.9199999999999999,1
wfpt.0,8,9,0.9889038908276248,1.0,9,0,-0.9199999999999999,0
wfpt.0,8,10,-1.478803890812916,0.0,10,0,1.18,1
wfpt.0,8,11,-1.1930038908123128,0.0,11,0,-1.31,0
wfpt.0,8,12,1.6475038908290154,1.0,12,0,-1.5499999999999998,0
wfpt.0,8,13,1.2723038908282236,1.0,13,0,0.95,1
wfpt.0,8,14,1.0979038908278556,1.0,14,0,0.9199999999999999,1
wfpt.0,8,15,-0.7919038908114665,0.0,15,0,-0.9299999999999999,0
wfpt.0,8,16,-1.037203890811984,0.0,16,0,-0.97,0
wfpt.0,8,17,0.8984038908274342,1.0,17,0,-1.2599999999999998,0
wfpt.0,8,18,0.8959038908274289,1.0,18,0,-1.03,0
wfpt.0,8,19,-1.35750389081266,0.0,19,0,-0.9299999999999999,0
wfpt.0,9,0,-1.4969415902155678,0.0,0,0,-1.33,0
wfpt.0,9,1,1.4243415902311576,1.0,1,0,1.13,1
wfpt.0,9,2,-0.8571415902142177,0.0,2,0,-1.42,0
wfpt.0,9,3,-0.88194159021427,0.0,3,0,-0.99,0
wfpt.0,9,4,-1.2791415902151082,0.0,4,0,-1.3199999999999998,0
wfpt.0,9,5,-1.2357415902150166,0.0,5,0,-1.16,0
wfpt.0,9,6,-1.130741590214795,0.0,6,0,-1.2599999999999998,0
wfpt.0,9,7,-0.8110415902141204,0.0,7,0,0.8200000000000001,1
wfpt.0,9,8,-1.8853415902163875,0.0,8,0,0.9199999999999999,1
wfpt.0,9,9,-1.0387415902146009,0.0,9,0,-0.9199999999999999,0
wfpt.0,9,10,-1.1855415902149107,0.0,10,0,1.18,1
wfpt.0,9,11,-0.9823415902144819,0.0,11,0,-1.31,0
wfpt.0,9,12,-1.1464415902148282,0.0,12,0,-1.5499999999999998,0
wfpt.0,9,13,-0.8670415902142385,0.0,13,0,0.95,1
wfpt.0,9,14,-1.1035415902147376,0.0,14,0,0.9199999999999999,1
wfpt.0,9,15,-2.134841590216914,0.0,15,0,-0.9299999999999999,0
wfpt.0,9,16,1.2215415902307296,1.0,16,0,-0.97,0
wfpt.0,9,17,1.6805415902316982,1.0,17,0,-1.2599999999999998,0
wfpt.0,9,18,-1.0384415902146003,0.0,18,0,-1.03,0
wfpt.0,9,19,2.267041590232936,1.0,19,0,-0.9299999999999999,0
wfpt.0,10,0,-1.3060860672663586,0.0,0,0,-1.33,0
wfpt.0,10,1,-1.1969860672661283,0.0,1,0,1.13,1
wfpt.0,10,2,-0.9301860672655653,0.0,2,0,-1.42,0
wfpt.0,10,3,-1.143786067266016,0.0,3,0,-0.99,0
wfpt.0,10,4,-1.163186067266057,0.0,4,0,-1.3199999999999998,0
wfpt.0,10,5,-0.9313860672655678,0.0,5,0,-1.16,0
wfpt.0,10,6,-1.2723860672662874,0.0,6,0,-1.2599999999999998,0
wfpt.0,10,7,-1.8563860672675199,0.0,7,0,0.8200000000000001,1
wfpt.0,10,8,-2.2109860672682684,0.0,8,0,0.9199999999999999,1
wfpt.0,10,9,-1.2226860672661826,0.0,9,0,-0.9199999999999999,0
wfpt.0,10,10,0.7976860672810286,1.0,10,0,1.18,1
wfpt.0,10,11,1.0672860672815971,1.0,11,0,-1.31,0
wfpt.0,10,12,-1.0372860672657913,0.0,12,0,-1.5499999999999998,0
wfpt.0,10,13,-1.8487860672675038,0.0,13,0,0.95,1
wfpt.0,10,14,-1.442286067266646,0.0,14,0,0.9199999999999999,1
wfpt.0,10,15,-1.4170860672665928,0.0,15,0,-0.9299999999999999,0
wfpt.0,10,16,1.220286067281921,1.0,16,0,-0.97,0
wfpt.0,10,17,-1.227186067266192,0.0,17,0,-1.2599999999999998,0
wfpt.0,10,18,-0.9866860672656845,0.0,18,0,-1.03,0
wfpt.0,10,19,-0.8696860672654376,0.0,19,0,-0.9299999999999999,0
wfpt.0,11,0,-1.0408232531907058,0.0,0,0,-1.33,0
wfpt.0,11,1,-0.7989232531901954,0.0,1,0,1.13,1
wfpt.0,11,2,1.2507232532068917,1.0,2,0,-1.42,0
wfpt.0,11,3,-0.8003232531901984,0.0,3,0,-0.99,0
wfpt.0,11,4,-0.909623253190429,0.0,4,0,-1.3199999999999998,0
wfpt.0,11,5,-0.8342232531902699,0.0,5,0,-1.16,0
wfpt.0,11,6,-1.0412232531907066,0.0,6,0,-1.2599999999999998,0
wfpt.0,11,7,-0.7835232531901629,0.0,7,0,0.8200000000000001,1
wfpt.0,11,8,-0.9564232531905278,0.0,8,0,0.9199999999999999,1
wfpt.0,11,9,-1.1630232531909637,0.0,9,0,-0.9199999999999999,0
wfpt.0,11,10,-1.5308232531917398,0.0,10,0,1.18,1
wfpt.0,11,11,0.853223253206053,1.0,11,0,-1.31,0
wfpt.0,11,12,1.0002232532063626,1.0,12,0,-1.5499999999999998,0
wfpt.0,11,13,-1.2429232531911323,0.0,13,0,0.95,1
wfpt.0,11,14,-1.3439232531913454,0.0,14,0,0.9199999999999999,1
wfpt.0,11,15,-1.480623253191634,0.0,15,0,-0.9299999999999999,0
wfpt.0,11,16,0.9523232532062621,1.0,16,0,-0.97,0
wfpt.0,11,17,-0.9645232531905449,0.0,17,0,-1.2599999999999998,0
wfpt.0,11,18,-1.694823253192086,0.0,18,0,-1.03,0
wfpt.0,11,19,-0.8095232531902178,0.0,19,0,-0.9299999999999999,0
wfpt.0,12,0,0.9917910090098209,1.0,0,0,-1.33,0
wfpt.0,12,1,-0.9629910089940171,0.0,1,0,1.13,1
wfpt.0,12,2,-1.0558910089942133,0.0,2,0,-1.42,0
wfpt.0,12,3,0.8954910090096176,1.0,3,0,-0.99,0
wfpt.0,12,4,-1.0712910089942458,0.0,4,0,-1.3199999999999998,0
wfpt.0,12,5,-1.4794910089951072,0.0,5,0,-1.16,0
wfpt.0,12,6,0.9241910090096782,1.0,6,0,-1.2599999999999998,0
wfpt.0,12,7,-1.114991008994338,0.0,7,0,0.8200000000000001,1
wfpt.0,12,8,-1.159491008994432,0.0,8,0,0.9199999999999999,1
wfpt.0,12,9,-1.2230910089945661,0.0,9,0,-0.9199999999999999,0
wfpt.0,12,10,-1.197891008994513,0.0,10,0,1.18,1
wfpt.0,12,11,1.1266910090101052,1.0,11,0,-1.31,0
wfpt.0,12,12,1.076191009009999,1.0,12,0,-1.5499999999999998,0
wfpt.0,12,13,-1.1254910089943602,0.0,13,0,0.95,1
wfpt.0,12,14,-0.9910910089940764,0.0,14,0,0.9199999999999999,1
wfpt.0,12,15,-1.1543910089944212,0.0,15,0,-0.9299999999999999,0
wfpt.0,12,16,-1.0451910089941907,0.0,16,0,-0.97,0
wfpt.0,12,17,-0.9749910089940425,0.0,17,0,-1.2599999999999998,0
wfpt.0,12,18,-1.0169910089941312,0.0,18,0,-1.03,0
wfpt.0,12,19,-0.9926910089940798,0.0,19,0,-0.9299999999999999,0
wfpt.0,13,0,-1.0242848115958465,0.0,0,0,-1.33,0
wfpt.0,13,1,-1.2764848115963787,0.0,1,0,1.13,1
wfpt.0,13,2,-2.5709848115991107,0.0,2,0,-1.42,0
