node,sample,accuracy,mean_ub,std_ub,10q_ub,30q_ub,50q_ub,70q_ub,90q_ub,mean_lb,std_lb,10q_lb,30q_lb,50q_lb,70q_lb,90q_lb
wfpt.0,0,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,1,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,2,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,3,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,4,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,5,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,6,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,7,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,8,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,9,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,10,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,11,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,12,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,13,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,14,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,15,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,16,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,17,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
wfpt.0,18,0.949999988079071,0.9868420958518982,0.3679109215736389,0.6740000247955322,0.8539999723434448,0.8700000047683716,1.0499999523162842,1.2640000581741333,-1.2799999713897705,0.0,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2799999713897705
