,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.4332987919,0.0417831265067,1.35247005384,1.40494448489,1.43328249159,1.46085412164,1.51692843126,0.000639909134656
a_std,0.0545942469994,0.0413554800506,0.00183844503954,0.0219848507189,0.0461500432159,0.0784368190688,0.15330651227,0.000913280879211
a_subj.0,1.42026334181,0.0691904500351,1.27024338991,1.38107043378,1.42304564394,1.46181603849,1.55359526692,0.000777077461157
a_subj.1,1.44537260301,0.0691346304045,1.32255652735,1.40221709277,1.4406777161,1.48114723225,1.60570100065,0.000754890706867
a_subj.2,1.4260203187,0.0684141365624,1.28474571497,1.38612656586,1.42653738612,1.46532791048,1.56642518664,0.0006854440979
a_subj.3,1.45356575192,0.071036372525,1.33439110236,1.40797735101,1.44574617166,1.48943591962,1.62093866767,0.000797967153034
a_subj.4,1.4479657945,0.0723855701363,1.32373446607,1.40285214054,1.44192696668,1.48385041862,1.61773436503,0.000760434619086
a_subj.5,1.43861726562,0.0710967087303,1.30295580515,1.39621808865,1.43630686845,1.47603945327,1.59495489392,0.000685072171745
a_subj.6,1.45255097602,0.07070940141,1.33149845682,1.40700290825,1.44537309714,1.48925301028,1.61769200413,0.000793158940453
a_subj.7,1.45563096505,0.0740123986196,1.33196979948,1.40834889182,1.44729113935,1.49215485824,1.63101079376,0.000831952381792
a_subj.8,1.4172374224,0.0700187525995,1.26459890783,1.37816688284,1.42040272691,1.4595948487,1.55066127249,0.000740252471265
a_subj.9,1.41688968474,0.069826474624,1.26166842418,1.37861904887,1.42099244646,1.45967272592,1.54751511256,0.000764654984166
a_subj.10,1.39292193329,0.0786103295267,1.20145903209,1.35422237254,1.40473094984,1.44454975222,1.51945826005,0.00103126498808
a_subj.11,1.44298176506,0.0698967845575,1.31563894098,1.39984009645,1.4391573763,1.47926457637,1.60105020782,0.000715591360879
a_subj.12,1.4274646989,0.0668148635132,1.28939886435,1.38805682214,1.42826988347,1.46637470606,1.56356783071,0.000669660850879
a_subj.13,1.41797883881,0.0717376254651,1.25639270311,1.37953155552,1.42216552117,1.46113483646,1.55322050969,0.000720415262653
a_subj.14,1.42193054974,0.0680054376957,1.27583670494,1.38317437878,1.4241663282,1.46262412901,1.55489492377,0.000722420233455
a_subj.15,1.41845097217,0.0686980134128,1.27027523614,1.37948551413,1.42137200076,1.46012895067,1.55109083985,0.000722296863073
a_subj.16,1.45562884368,0.0742426406792,1.33246310096,1.40803149855,1.44696826101,1.49248439354,1.6329706241,0.000828926168485
a_subj.17,1.43377637587,0.0674644175841,1.30204986683,1.39294496703,1.43297323727,1.47131721805,1.57738529171,0.000653638883096
a_subj.18,1.42850248372,0.0681465085243,1.28867909666,1.38905431395,1.42914487496,1.4676991408,1.56781639574,0.000686142702975
a_subj.19,1.44524433962,0.070618454946,1.3194531663,1.40121880607,1.44072721388,1.48141607024,1.60770448327,0.000732207091786
t,0.646786164085,0.0242816186961,0.598846422259,0.631014718753,0.646668468631,0.662463297703,0.694872639939,0.000163699452859
t_std,0.0910334373494,0.0210306419423,0.0575633461116,0.0763185729153,0.0884640836039,0.102880410263,0.13919436021,0.000113623611716
t_subj.0,0.553425356759,0.0489079086884,0.435950002709,0.538093463513,0.568314509301,0.587266484889,0.612127512888,0.000336603473522
t_subj.1,0.702762519837,0.03525010923,0.62237866799,0.682913323592,0.706818241748,0.726763789485,0.758383220458,0.000182343257867
t_subj.2,0.742561164534,0.0382846240772,0.654371353138,0.720204997518,0.747645514291,0.770444826455,0.801551536693,0.000190267580136
t_subj.3,0.675051461855,0.0339712164899,0.598175103626,0.65569217146,0.678704293311,0.697777280218,0.731197735512,0.000207892676837
t_subj.4,0.782586812967,0.0459244524856,0.674916440698,0.756066346466,0.789380464922,0.816178642478,0.852839064769,0.000280695329192
t_subj.5,0.745465335761,0.0619760666674,0.641943647245,0.710224760292,0.738544803195,0.764472887451,0.907633281713,0.000348586232477
t_subj.6,0.599110988609,0.030047209445,0.530843744929,0.581714654454,0.602535853625,0.61973350921,0.647686885463,0.000171087931866
t_subj.7,0.609388859321,0.0609718669461,0.509735122643,0.560286783471,0.590807016733,0.666994634469,0.708322497066,0.000377213381178
t_subj.8,0.652319124193,0.0434259366396,0.508869765536,0.636107113623,0.660673687862,0.680275616801,0.707379658225,0.000278491850578
t_subj.9,0.616766481601,0.0288271956059,0.550327127612,0.600224968352,0.620599308888,0.637459582998,0.661848419095,0.000156740713345
t_subj.10,0.543248417006,0.026804700975,0.482568620315,0.52726680351,0.546327605638,0.562287355986,0.587025093894,0.000205999096104
t_subj.11,0.686060757662,0.0337177697395,0.6085085684,0.666660255346,0.690765273638,0.710558010721,0.737737722317,0.000186962024505
t_subj.12,0.557587208907,0.0270589122579,0.496150936411,0.542144806461,0.561003687816,0.576769604946,0.599454694503,0.000153561722935
t_subj.13,0.578680543775,0.0572696660115,0.48562222125,0.533405748459,0.560346194234,0.633465559774,0.675800600423,0.000386117088783
t_subj.14,0.601298069183,0.0292433416721,0.537160072329,0.585022806187,0.604353563006,0.620285320814,0.644281726794,0.000136939210137
t_subj.15,0.663194065186,0.0339139356655,0.591972297386,0.643658929563,0.665687500223,0.683462843628,0.738942949535,0.000162600339229
t_subj.16,0.798974984272,0.0456504198517,0.689973398463,0.773231713422,0.806349212303,0.832387555707,0.866348165243,0.000275402811479
t_subj.17,0.624811475158,0.0294002330682,0.556911912852,0.607981230345,0.628838306701,0.645581175743,0.669826866491,0.00015996425887
t_subj.18,0.601200415265,0.0427014807262,0.466922821671,0.587305104163,0.610255429247,0.627986850057,0.65317088592,0.000291296971293
t_subj.19,0.608991728682,0.0636715828582,0.51014353775,0.56079351122,0.587788051618,0.663259470858,0.751977642646,0.000383910881425
