stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.5035353302955627,0.5044546127319336,0.27205485105514526,8.450374480162282e-07,0.07401468604803085,True,52.0,0.003378947963938117
mean_ub,0.9500672221183777,1.0014570951461792,0.27271410822868347,0.0026409211568534374,0.07701389491558075,True,46.93877410888672,0.18843869864940643
std_ub,0.41728588938713074,0.2861679494380951,0.1683802604675293,0.017191918566823006,0.045543819665908813,True,78.57142639160156,0.7787014842033386
10q_ub,0.5479999780654907,0.7539010643959045,0.23776192963123322,0.042395249009132385,0.09892597049474716,True,17.862245559692383,0.865996778011322
30q_ub,0.7135999798774719,0.8397123217582703,0.2540982663631439,0.015904318541288376,0.08047023415565491,True,31.632652282714844,0.4963131844997406
50q_ub,0.8450000286102295,0.9297805428504944,0.2686285078525543,0.007187740411609411,0.07934901863336563,True,43.8775520324707,0.31560516357421875
70q_ub,1.044800043106079,1.0402634143829346,0.289327472448349,2.0580608179443516e-05,0.08373098075389862,True,55.1020393371582,0.01567976176738739
90q_ub,1.4886000156402588,1.3181825876235962,0.41838526725769043,0.029042094945907593,0.20408831536769867,True,68.36734771728516,0.4073217213153839
mean_lb,-1.071089506149292,-1.095088005065918,0.30815762281417847,0.0005759272025898099,0.09553704410791397,True,47.95918273925781,0.07787729799747467
std_lb,0.4430970847606659,0.3086640536785126,0.18208882212638855,0.01807224191725254,0.05122857913374901,True,78.57142639160156,0.7382827401161194
10q_lb,0.6381999850273132,0.8238826990127563,0.2689118981361389,0.03447806462645531,0.106791652739048,True,22.964284896850586,0.6904963850975037
30q_lb,0.8090000152587891,0.9159010052680969,0.27379322052001953,0.011427825316786766,0.08639056980609894,True,39.79591751098633,0.3904443085193634
50q_lb,0.9670000076293945,1.0138009786605835,0.29752880334854126,0.002190331695601344,0.09071370959281921,True,44.8979606628418,0.1572989821434021
70q_lb,1.1723999977111816,1.1558254957199097,0.35864919424057007,0.00027471419889479876,0.12890394032001495,True,61.224491119384766,0.04621369391679764
90q_lb,1.6679999828338623,1.4300376176834106,0.45235610008239746,0.056626096367836,0.2612520754337311,True,70.40816497802734,0.5260509848594666
