stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.47164949774742126,0.4668567478656769,0.35547754168510437,2.2970325517235324e-05,0.12638725340366364,True,65.0,0.013482530601322651
mean_ub,1.1793442964553833,1.1941111087799072,0.21729138493537903,0.0002180597512051463,0.047433607280254364,True,66.66666412353516,0.06795872747898102
std_ub,0.37656864523887634,0.275173544883728,0.1480143815279007,0.010280965827405453,0.03218923136591911,True,72.22222137451172,0.6850354075431824
10q_ub,0.8220000267028809,0.9509444236755371,0.25506219267845154,0.016626663506031036,0.08168338984251022,True,27.77777862548828,0.5055410861968994
30q_ub,0.9860000014305115,1.0425000190734863,0.2304558902978897,0.0031922522466629744,0.05630216747522354,True,55.55555725097656,0.24516630172729492
50q_ub,1.090000033378601,1.1205555200576782,0.228867307305336,0.0009336398215964437,0.05331386998295784,True,61.11111068725586,0.13350757956504822
70q_ub,1.2319999933242798,1.239944338798523,0.21870946884155273,6.311252218438312e-05,0.04789694398641586,True,66.66666412353516,0.036323707550764084
90q_ub,1.5180000066757202,1.486611008644104,0.28422194719314575,0.0009852687362581491,0.08176737278699875,True,66.66666412353516,0.11043830960988998
mean_lb,-1.1612682342529297,-1.1600624322891235,0.11855501681566238,1.4540993333866936e-06,0.014056744985282421,True,38.88888931274414,0.01017131470143795
std_lb,0.2793046236038208,0.2174835503101349,0.09012790769338608,0.0038218453992158175,0.011944885365664959,True,77.77777862548828,0.6859260201454163
10q_lb,0.8500000238418579,0.9463889002799988,0.12331583350896835,0.009290819987654686,0.024497605860233307,True,27.77777862548828,0.7816425561904907
30q_lb,1.0,1.033833384513855,0.1243017241358757,0.0011446978896856308,0.016595613211393356,True,50.0,0.27218756079673767
50q_lb,1.1100000143051147,1.1258333921432495,0.12414427846670151,0.0002506963210180402,0.015662498772144318,True,52.80555725097656,0.1275402456521988
70q_lb,1.2400000095367432,1.2229446172714233,0.13498620688915253,0.0002908860915340483,0.018512167036533356,True,66.66666412353516,0.126349076628685
90q_lb,1.5260000228881836,1.431666612625122,0.21436701714992523,0.008898788131773472,0.05485199764370918,True,61.11111068725586,0.4400555193424225
