node,sample,,rt_sampled,response_sampled,index,subj_idx,rt,response
wfpt.0,0,0,-1.4202206379652433,0.0,0,0,0.8600000000000001,1
wfpt.0,0,1,0.8527206379798303,1.0,1,0,1.31,1
wfpt.0,0,2,-0.8877206379641195,0.0,2,0,0.77,1
wfpt.0,0,3,1.6218206379814535,1.0,3,0,1.44,1
wfpt.0,0,4,1.1591206379804775,1.0,4,0,0.99,1
wfpt.0,0,5,2.0107206379822746,1.0,5,0,1.04,1
wfpt.0,0,6,-0.7347206379637966,0.0,6,0,0.95,1
wfpt.0,0,7,0.7866206379796908,1.0,7,0,0.97,1
wfpt.0,0,8,1.126120637980407,1.0,8,0,1.52,1
wfpt.0,0,9,0.9930206379801264,1.0,9,0,0.81,1
wfpt.0,0,10,1.0182206379801797,1.0,10,0,1.42,1
wfpt.0,0,11,-1.6951206379658235,0.0,11,0,1.22,1
wfpt.0,0,12,1.0168206379801767,1.0,12,0,-0.81,0
wfpt.0,0,13,1.5187206379812364,1.0,13,0,1.13,1
wfpt.0,0,14,0.9190206379799702,1.0,14,0,-1.18,0
wfpt.0,0,15,0.9032206379799369,1.0,15,0,-1.24,0
wfpt.0,0,16,1.3013206379807767,1.0,16,0,-1.2799999999999998,0
wfpt.0,0,17,0.9798206379800986,1.0,17,0,1.3199999999999998,1
wfpt.0,0,18,1.5533206379813085,1.0,18,0,1.23,1
wfpt.0,0,19,0.9422206379800192,1.0,19,0,1.17,1
wfpt.0,1,0,0.9599686763794854,1.0,0,0,0.8600000000000001,1
wfpt.0,1,1,1.1959686763799833,1.0,1,0,1.31,1
wfpt.0,1,2,1.8188686763812982,1.0,2,0,0.77,1
wfpt.0,1,3,1.192568676379976,1.0,3,0,1.44,1
wfpt.0,1,4,1.5089686763806438,1.0,4,0,0.99,1
wfpt.0,1,5,1.0366686763796467,1.0,5,0,1.04,1
wfpt.0,1,6,1.9522686763815789,1.0,6,0,0.95,1
wfpt.0,1,7,0.9407686763794448,1.0,7,0,0.97,1
wfpt.0,1,8,2.2143686763821324,1.0,8,0,1.52,1
wfpt.0,1,9,-0.823168676363412,0.0,9,0,0.81,1
wfpt.0,1,10,1.1253686763798343,1.0,10,0,1.42,1
wfpt.0,1,11,-1.0173686763638217,0.0,11,0,1.22,1
wfpt.0,1,12,1.9545686763815842,1.0,12,0,-0.81,0
wfpt.0,1,13,-0.9201686763636167,0.0,13,0,1.13,1
wfpt.0,1,14,1.5173686763806615,1.0,14,0,-1.18,0
wfpt.0,1,15,1.0819686763797427,1.0,15,0,-1.24,0
wfpt.0,1,16,0.9404686763794446,1.0,16,0,-1.2799999999999998,0
wfpt.0,1,17,-1.9488686763657874,0.0,17,0,1.3199999999999998,1
wfpt.0,1,18,1.087368676379754,1.0,18,0,1.23,1
wfpt.0,1,19,0.8898686763793374,1.0,19,0,1.17,1
wfpt.0,2,0,0.784463393788661,1.0,0,0,0.8600000000000001,1
wfpt.0,2,1,0.7726633937886361,1.0,1,0,1.31,1
wfpt.0,2,2,0.7556633937886003,1.0,2,0,0.77,1
wfpt.0,2,3,1.220663393789581,1.0,3,0,1.44,1
wfpt.0,2,4,0.8682633937888379,1.0,4,0,0.99,1
wfpt.0,2,5,-1.6716633937747485,0.0,5,0,1.04,1
wfpt.0,2,6,0.7208633937885268,1.0,6,0,0.95,1
wfpt.0,2,7,1.2876633937897233,1.0,7,0,0.97,1
wfpt.0,2,8,1.3150633937897802,1.0,8,0,1.52,1
wfpt.0,2,9,0.7930633937886792,1.0,9,0,0.81,1
wfpt.0,2,10,1.031363393789182,1.0,10,0,1.42,1
wfpt.0,2,11,0.766463393788623,1.0,11,0,1.22,1
wfpt.0,2,12,0.9657633937890436,1.0,12,0,-0.81,0
wfpt.0,2,13,1.3129633937897762,1.0,13,0,1.13,1
wfpt.0,2,14,-0.9304633937731844,0.0,14,0,-1.18,0
wfpt.0,2,15,1.368063393789893,1.0,15,0,-1.24,0
wfpt.0,2,16,0.9035633937889124,1.0,16,0,-1.2799999999999998,0
wfpt.0,2,17,1.0916633937893097,1.0,17,0,1.3199999999999998,1
wfpt.0,2,18,1.5726633937903238,1.0,18,0,1.23,1
wfpt.0,2,19,1.6561633937905005,1.0,19,0,1.17,1
wfpt.0,3,0,-1.1609038144479058,0.0,0,0,0.8600000000000001,1
wfpt.0,3,1,1.6469038144647161,1.0,1,0,1.31,1
wfpt.0,3,2,-1.3972038144484045,0.0,2,0,0.77,1
wfpt.0,3,3,1.3834038144641605,1.0,3,0,1.44,1
wfpt.0,3,4,0.8276038144629871,1.0,4,0,0.99,1
wfpt.0,3,5,1.2090038144637925,1.0,5,0,1.04,1
wfpt.0,3,6,1.116103814463596,1.0,6,0,0.95,1
wfpt.0,3,7,0.9584038144632627,1.0,7,0,0.97,1
wfpt.0,3,8,-1.1431038144478682,0.0,8,0,1.52,1
wfpt.0,3,9,0.8914038144631218,1.0,9,0,0.81,1
wfpt.0,3,10,-1.3352038144482736,0.0,10,0,1.42,1
wfpt.0,3,11,1.1218038144636084,1.0,11,0,1.22,1
wfpt.0,3,12,1.1143038144635922,1.0,12,0,-0.81,0
wfpt.0,3,13,-0.751603814447042,0.0,13,0,1.13,1
wfpt.0,3,14,0.842203814463018,1.0,14,0,-1.18,0
wfpt.0,3,15,-0.9652038144474928,0.0,15,0,-1.24,0
wfpt.0,3,16,0.9019038144631439,1.0,16,0,-1.2799999999999998,0
wfpt.0,3,17,-1.8520038144493642,0.0,17,0,1.3199999999999998,1
wfpt.0,3,18,1.0684038144634949,1.0,18,0,1.23,1
wfpt.0,3,19,-1.0254038144476199,0.0,19,0,1.17,1
wfpt.0,4,0,1.0786522320543754,1.0,0,0,0.8600000000000001,1
wfpt.0,4,1,0.8081522320538046,1.0,1,0,1.31,1
wfpt.0,4,2,1.2685522320547766,1.0,2,0,0.77,1
wfpt.0,4,3,0.9369522320540764,1.0,3,0,1.44,1
wfpt.0,4,4,1.3011522320548445,1.0,4,0,0.99,1
wfpt.0,4,5,0.8115522320538118,1.0,5,0,1.04,1
