t,1.000041663,TRUE,count true,44,0.999888662
,,,count false,0,1.003149236
t_subj.17,0.999888662,TRUE,,,
,,,,,
t_subj.16,1.000035591,TRUE,,,
,,,,,
t_subj.12,1.000028334,TRUE,,,
,,,,,
t_subj.11,1.000133708,TRUE,,,
,,,,,
t_subj.3,1.000141336,TRUE,,,
,,,,,
a_subj.12,1.000269941,TRUE,,,
,,,,,
a_subj.2,1.000379919,TRUE,,,
,,,,,
a_subj.13,1.001249462,TRUE,,,
,,,,,
a_subj.7,1.000635928,TRUE,,,
,,,,,
a_subj.9,1.001241368,TRUE,,,
,,,,,
a_subj.15,1.000433162,TRUE,,,
,,,,,
a_subj.3,1.000413952,TRUE,,,
,,,,,
a_subj.5,1.000684642,TRUE,,,
,,,,,
a_subj.11,1.00077694,TRUE,,,
,,,,,
a_subj.6,1.000454732,TRUE,,,
,,,,,
t_subj.15,1.000097124,TRUE,,,
,,,,,
t_subj.0,1.000047229,TRUE,,,
,,,,,
a_subj.10,1.000951432,TRUE,,,
,,,,,
t_subj.7,0.999992596,TRUE,,,
,,,,,
a_subj.17,1.000584363,TRUE,,,
,,,,,
t_subj.5,1.000265454,TRUE,,,
,,,,,
t_subj.8,1.000245878,TRUE,,,
,,,,,
a_subj.8,1.00076328,TRUE,,,
,,,,,
t_subj.9,1.000101681,TRUE,,,
,,,,,
a_subj.16,1.001603736,TRUE,,,
,,,,,
t_subj.6,0.999892588,TRUE,,,
,,,,,
t_subj.1,1.00009692,TRUE,,,
,,,,,
a,1.001628557,TRUE,,,
,,,,,
t_subj.2,0.999959374,TRUE,,,
,,,,,
a_std,1.003149236,TRUE,,,
,,,,,
a_subj.4,1.00094329,TRUE,,,
,,,,,
t_subj.19,1.000284733,TRUE,,,
,,,,,
a_subj.18,1.000276637,TRUE,,,
,,,,,
a_subj.14,1.000324142,TRUE,,,
,,,,,
t_subj.4,1.000278619,TRUE,,,
,,,,,
a_subj.1,1.000614865,TRUE,,,
,,,,,
t_subj.18,1.000046144,TRUE,,,
,,,,,
t_subj.14,1.000273162,TRUE,,,
,,,,,
a_subj.19,1.000675765,TRUE,,,
,,,,,
t_subj.13,1.000153568,TRUE,,,
,,,,,
a_subj.0,1.000673322,TRUE,,,
,,,,,
t_std,1.000014696,TRUE,,,
,,,,,
t_subj.10,0.999948313,TRUE,,,
