stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.48636001348495483,0.48636001348495483,0.21062961220741272,1.818440109667584e-16,0.04436482861638069,True,52.0,6.402212449074796e-08
mean_ub,0.1322970688343048,0.13726772367954254,0.014243900775909424,2.4707336706342176e-05,0.0002275961742270738,True,33.5,0.34896671772003174
std_ub,0.06101448833942413,0.06069958582520485,0.008543482050299644,9.916325893755129e-08,7.309025386348367e-05,True,55.0,0.03685874119400978
10q_ub,0.07129999995231628,0.07589966058731079,0.007779349572956562,2.1156876755412668e-05,8.167506894096732e-05,True,25.512500762939453,0.5912654399871826
30q_ub,0.09549999982118607,0.10044119507074356,0.01083203125745058,2.4415408915956505e-05,0.0001417483581462875,True,30.012500762939453,0.4561651349067688
50q_ub,0.11860000342130661,0.12383325397968292,0.013740094378590584,2.7386946385377087e-05,0.00021617708262056112,True,34.01250076293945,0.3808746635913849
70q_ub,0.149399995803833,0.15382640063762665,0.017102636396884918,1.959302244358696e-05,0.00031209326698444784,True,37.76250076293945,0.2588139474391937
90q_ub,0.21209999918937683,0.2151976078748703,0.024010535329580307,9.595174560672604e-06,0.0005861009121872485,True,44.01250076293945,0.1290103644132614
mean_lb,-0.13231565058231354,-0.13654714822769165,0.013246919959783554,1.7905584172694944e-05,0.0001933864114107564,True,61.0,0.31943267583847046
std_lb,0.060786060988903046,0.060622502118349075,0.0077655259519815445,2.6751603598995644e-08,6.033014506101608e-05,True,52.5,0.0210622139275074
10q_lb,0.07129999995231628,0.07530620694160461,0.007320145610719919,1.6049694750108756e-05,6.963416672078893e-05,True,30.512500762939453,0.5472851395606995
30q_lb,0.09549999982118607,0.09944075345993042,0.009979542344808578,1.5529538359260187e-05,0.00011512079800013453,True,36.51250076293945,0.3948831856250763
50q_lb,0.11860000342130661,0.1230192482471466,0.012666176073253155,1.952975435415283e-05,0.00017996177484747022,True,38.01250076293945,0.34890154004096985
70q_lb,0.14830000698566437,0.15362675487995148,0.01629740186035633,2.8374317480484024e-05,0.00029397953767329454,True,38.01250076293945,0.3268468677997589
90q_lb,0.210999995470047,0.21397659182548523,0.022688841447234154,8.86009911482688e-06,0.0005236436845734715,True,47.01250076293945,0.13119187951087952
