stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.4937700033187866,0.4937700033187866,0.2435716837644577,1.1014344953145766e-17,0.05932716652750969,True,52.5,1.3625502504055476e-08
mean_ub,0.18361258506774902,0.1918785125017166,0.025271521881222725,6.83254620525986e-05,0.0007069751154631376,True,34.0,0.3270844519138336
std_ub,0.0953221246600151,0.09371237456798553,0.016787858679890633,2.591293196019251e-06,0.00028442349866963923,True,58.0,0.09588771313428879
10q_ub,0.09109999984502792,0.09861630201339722,0.011446028016507626,5.649479498970322e-05,0.00018750631716102362,True,24.512500762939453,0.6566733717918396
30q_ub,0.12520000338554382,0.13437069952487946,0.01699306070804596,8.410173177253455e-05,0.00037286579026840627,True,29.762500762939453,0.5396732091903687
50q_ub,0.16040000319480896,0.1698710024356842,0.0226804930716753,8.969988994067535e-05,0.0006041045999154449,True,30.762500762939453,0.4175836145877838
70q_ub,0.20659999549388885,0.21706649661064148,0.03156484663486481,0.00010954755271086469,0.0011058873496949673,True,35.01250076293945,0.3315871059894562
90q_ub,0.3066999912261963,0.3125916123390198,0.04720140993595123,3.471109448582865e-05,0.002262683818116784,True,42.76250076293945,0.12481856346130371
mean_lb,-0.1810537874698639,-0.19012390077114105,0.026916204020380974,8.226698264479637e-05,0.0008067491580732167,True,62.0,0.33697599172592163
std_lb,0.09388325363397598,0.09321052581071854,0.01761258952319622,4.5256322778186586e-07,0.0003106558579020202,True,57.0,0.03819587081670761
10q_lb,0.09109999984502792,0.09831985831260681,0.013307418674230576,5.212635369389318e-05,0.00022921361960470676,True,28.012500762939453,0.542543888092041
30q_lb,0.12409999966621399,0.13330096006393433,0.018294960260391235,8.465766586596146e-05,0.00041936314664781094,True,31.762500762939453,0.5029231905937195
50q_lb,0.15710000693798065,0.1675335019826889,0.02380521036684513,0.00010885796655202284,0.0006755459471605718,True,34.51250076293945,0.4382864832878113
70q_lb,0.20329999923706055,0.21451561152935028,0.034157101064920425,0.00012578994210343808,0.0012924973852932453,True,38.01250076293945,0.32835373282432556
90q_lb,0.30230000615119934,0.31030359864234924,0.050855111330747604,6.40575890429318e-05,0.0026503000408411026,True,45.76250076293945,0.15738041698932648
