stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.24296675622463226,0.247771754860878,0.24831146001815796,2.308805414941162e-05,0.06168166175484657,True,60.0,0.01935070939362049
mean_ub,1.2275789976119995,1.2420449256896973,0.3552708625793457,0.0002092645299853757,0.12642665207386017,True,60.0,0.04071816802024841
std_ub,0.37822219729423523,0.19749923050403595,0.1531808227300644,0.032660793513059616,0.056125156581401825,True,86.66666412353516,1.1798015832901
10q_ub,0.8240000009536743,1.0379334688186646,0.3844888508319855,0.04576753079891205,0.1935991644859314,True,20.0,0.5564100742340088
30q_ub,1.0099999904632568,1.1362667083740234,0.3710990250110626,0.01594328135251999,0.15365774929523468,True,43.36666488647461,0.340250700712204
50q_ub,1.1699999570846558,1.2063332796096802,0.356709361076355,0.001320107257924974,0.12856169044971466,True,66.66666412353516,0.10185681283473969
70q_ub,1.3179999589920044,1.31440007686615,0.36727046966552734,1.2959446394233964e-05,0.1349005550146103,True,66.66666412353516,0.009801831096410751
90q_ub,1.7120000123977661,1.445933222770691,0.4061664044857025,0.07079152762889862,0.2357626110315323,True,73.33333587646484,0.6550683975219727
mean_lb,-1.2024999856948853,-1.2174499034881592,0.18963627517223358,0.00022349962091539055,0.03618541732430458,True,45.0,0.07883461564779282
std_lb,0.41186848282814026,0.3289138078689575,0.14696049690246582,0.00688147684559226,0.028478870168328285,True,80.0,0.5644691586494446
10q_lb,0.8050000071525574,0.8847500085830688,0.1553698480129242,0.006360063795000315,0.03049984760582447,True,40.0,0.5132914185523987
30q_lb,0.9599999785423279,1.0360000133514404,0.17011378705501556,0.005776002071797848,0.0347147062420845,True,55.0,0.4467598795890808
50q_lb,1.0700000524520874,1.1457500457763672,0.18877418339252472,0.005738069303333759,0.04137374460697174,True,55.0,0.40127333998680115
70q_lb,1.2999999523162842,1.3000999689102173,0.22968736290931702,9.99378269028739e-09,0.05275629460811615,True,55.0,0.0004352390533313155
90q_lb,1.7899999618530273,1.6340000629425049,0.3873012065887451,0.02433598041534424,0.1743382066488266,True,65.0,0.40278711915016174
